orthographe;classe;freqfilms;nblettres
a;NOM;81.36;1
a;AUX;6350.91;1
a;VER;5498.34;1
a capella;ADV;0.04;9
a cappella;ADV;0.04;10
a contrario;ADV;0;11
a fortiori;ADV;0.04;10
a giorno;ADV;0;8
a jeun;ADV;0.18;6
a l'instar;PRE;0.26;10
a posteriori;ADV;0.01;12
a priori;ADV;0.63;8
a priori;NOM;0.41;8
aa;NOM;0.01;2
ab absurdo;ADV;0;10
ab initio;ADV;0.01;9
ab ovo;ADV;0;6
abaca;NOM;0.01;5
abaissa;VER;0;7
abaissai;VER;0.1;8
abaissaient;VER;0;11
abaissait;VER;0.02;9
abaissant;ADJ;0.03;9
abaissant;VER;0.01;9
abaissante;ADJ;0.01;10
abaisse;NOM;0.02;7
abaisse;VER;1.28;7
abaisse-langue;NOM;0.04;14
abaissement;NOM;0.31;11
abaissent;VER;0.05;9
abaisser;VER;1.09;8
abaissera;VER;0.19;9
abaisserai;VER;0.1;10
abaisseraient;VER;0.01;13
abaisserais;VER;0.13;11
abaisserait;VER;0.02;11
abaisses;VER;0.16;8
abaissez;VER;0.53;8
abaissons;VER;0.02;9
abaissèrent;VER;0;11
abaissé;VER;0.74;7
abaissé;ADJ;0.03;7
abaissée;VER;0.17;8
abaissée;ADJ;0;8
abaissées;VER;0.01;9
abaissées;ADJ;0.02;9
abaissés;VER;0.3;8
abaissés;ADJ;0.01;8
abalone;NOM;0.01;7
abalones;NOM;0;8
abandon;NOM;4.77;7
abandonna;VER;0.59;9
abandonnai;VER;0.27;10
abandonnaient;VER;0.07;13
abandonnais;VER;0.35;11
abandonnait;VER;1.04;11
abandonnant;VER;1.15;11
abandonnas;VER;0;10
abandonne;VER;24.04;9
abandonnent;VER;2.44;11
abandonner;VER;28.37;10
abandonnera;VER;1.52;11
abandonnerai;VER;2.39;12
abandonneraient;VER;0.02;15
abandonnerais;VER;0.93;13
abandonnerait;VER;0.23;13
abandonneras;VER;0.3;12
abandonnerez;VER;0.14;12
abandonneriez;VER;0.23;13
abandonnerions;VER;0.01;14
abandonnerons;VER;0.39;13
abandonneront;VER;0.41;13
abandonnes;VER;4.13;10
abandonneurs;NOM;0;12
abandonnez;VER;5.72;10
abandonniez;VER;0.14;11
abandonnions;VER;0.06;12
abandonnique;ADJ;0;12
abandonnons;VER;1.06;11
abandonnâmes;VER;0;12
abandonnât;VER;0;10
abandonnèrent;VER;0.16;13
abandonné;VER;22.56;9
abandonné;ADJ;3.84;9
abandonnée;VER;7.34;10
abandonnée;ADJ;2.94;10
abandonnées;VER;1.27;11
abandonnées;ADJ;0.44;11
abandonnés;VER;3.55;10
abandonnés;ADJ;1.05;10
abandons;NOM;0.07;8
abaque;NOM;0;6
abasourdi;ADJ;0.24;9
abasourdi;VER;0.35;9
abasourdie;ADJ;0.14;10
abasourdie;VER;0.12;10
abasourdir;VER;0.01;10
abasourdis;ADJ;0.02;10
abasourdis;VER;0.07;10
abasourdissant;ADJ;0.01;14
abasourdissants;ADJ;0;15
abat;NOM;0.13;4
abat;VER;2.15;4
abat-jour;NOM;0.51;9
abat-son;NOM;0;8
abatage;NOM;0;7
abatis;NOM;0;6
abats;NOM;0.52;5
abats;VER;1.79;5
abattage;NOM;0.63;8
abattages;NOM;0.02;9
abattaient;VER;0.06;10
abattais;VER;0.02;8
abattait;VER;0.42;8
abattant;NOM;0.05;8
abattant;VER;0.31;8
abattants;NOM;0.01;9
abatte;VER;0.58;6
abattement;NOM;0.17;10
abattements;NOM;0.01;11
abattent;VER;0.69;8
abattes;VER;0.11;7
abatteur;NOM;0.14;8
abatteurs;NOM;0;9
abattez;VER;2.21;7
abattiez;VER;0.06;8
abattions;VER;0;9
abattirent;VER;0.03;10
abattis;NOM;0.14;7
abattis;VER;0;7
abattit;VER;0.34;7
abattoir;NOM;2.67;8
abattoirs;NOM;0.48;9
abattons;VER;0.33;8
abattra;VER;1.51;7
abattrai;VER;0.39;8
abattraient;VER;0.03;11
abattrais;VER;0.1;9
abattrait;VER;0.63;9
abattras;VER;0.03;8
abattre;VER;14.43;7
abattrez;VER;0.26;8
abattriez;VER;0.02;9
abattrons;VER;0.11;9
abattront;VER;0.34;9
abattu;VER;11.48;6
abattu;ADJ;1.82;6
abattu;NOM;0.18;6
abattue;VER;2.19;7
abattue;ADJ;0.18;7
abattues;VER;0.44;8
abattues;ADJ;0.04;8
abattures;NOM;0;9
abattus;VER;2.42;7
abattus;ADJ;0.47;7
abattus;NOM;0.35;7
abbatial;ADJ;0;8
abbatiale;ADJ;0;9
abbatiale;NOM;0;9
abbatiales;ADJ;0;10
abbaye;NOM;3.66;6
abbayes;NOM;0.28;7
abbesse;NOM;0.26;7
abbesses;NOM;0;8
abbé;NOM;4.19;4
abbés;NOM;0.02;5
abc;NOM;0.04;3
abcès;NOM;1.79;5
abdication;NOM;0.05;10
abdications;NOM;0;11
abdiqua;VER;0;7
abdiquai;VER;0;8
abdiquaient;VER;0;11
abdiquais;VER;0;9
abdiquait;VER;0;9
abdiquant;VER;0;9
abdique;VER;0.23;7
abdiquer;VER;0.08;8
abdiquera;VER;0.01;9
abdiquerais;VER;0;11
abdiquerait;VER;0;11
abdiquez;VER;0.03;8
abdiqué;VER;0.11;7
abdiquée;VER;0;8
abdomen;NOM;2.76;7
abdominal;ADJ;0.5;9
abdominale;ADJ;1.3;10
abdominales;ADJ;0.7;11
abdominaux;ADJ;0.06;10
abdominaux;NOM;0.09;10
abdos;NOM;0.86;5
abducteur;ADJ;0.01;9
abduction;NOM;0.05;9
abeille;NOM;3.53;7
abeilles;NOM;5.59;8
aber;NOM;0.25;4
aberrant;ADJ;0.58;8
aberrant;VER;0;8
aberrante;ADJ;0.04;9
aberrantes;ADJ;0.2;10
aberrants;ADJ;0.02;9
aberration;NOM;0.89;10
aberrations;NOM;0.27;11
abhorrais;VER;0.01;9
abhorrait;VER;0.01;9
abhorrant;VER;0.01;9
abhorre;VER;0.2;7
abhorrer;VER;0;8
abhorrez;VER;0.03;8
abhorré;VER;0.01;7
abhorré;ADJ;0;7
abhorrée;VER;0;8
abhorrée;ADJ;0.01;8
abhorrés;VER;0;8
abject;ADJ;1.4;6
abjecte;ADJ;0.69;7
abjectement;ADV;0.1;11
abjectes;ADJ;0.05;8
abjection;NOM;0.37;9
abjections;NOM;0.14;10
abjects;ADJ;0.05;7
abjurant;VER;0.14;8
abjuration;NOM;0;10
abjurations;NOM;0;11
abjure;VER;0.77;6
abjurer;VER;0.22;7
abjurez;VER;0.4;7
abjurons;VER;0;8
abjuré;VER;0;6
abkhaze;ADJ;0;7
ablatif;NOM;0;7
ablation;NOM;0.43;8
ablations;NOM;0.03;9
able;NOM;0.68;4
ablette;NOM;0;7
ablettes;NOM;0.14;8
ablution;NOM;0.01;8
ablutions;NOM;0.47;9
abnégation;NOM;0.91;10
aboi;NOM;0;4
aboie;VER;2.91;5
aboiement;NOM;0.44;9
aboiements;NOM;1.35;10
aboient;VER;0.54;7
aboiera;VER;0.21;7
aboierait;VER;0.01;9
aboieront;VER;0.01;9
aboies;VER;0.42;6
abois;NOM;0.78;5
aboli;ADJ;0.02;5
aboli;VER;1.1;5
abolie;ADJ;0.06;6
abolie;VER;0.06;6
abolies;ADJ;0;7
abolies;VER;0.11;7
abolir;VER;1.08;6
abolira;VER;0.01;7
abolirait;VER;0;9
aboliras;VER;0.01;8
abolis;ADJ;0;6
abolis;VER;0.14;6
abolissaient;VER;0;12
abolissais;VER;0;10
abolissait;VER;0;10
abolissant;VER;0.25;10
abolissent;VER;0;10
abolissions;VER;0;11
abolissons;VER;0.02;10
abolit;VER;0.29;6
abolition;NOM;0.45;9
abolitionniste;ADJ;0.03;14
abolitionniste;NOM;0.07;14
abolitionnistes;ADJ;0;15
abolitionnistes;NOM;0.1;15
abominable;ADJ;4.78;10
abominablement;ADV;0.01;14
abominables;ADJ;0.62;11
abominaient;VER;0;11
abomination;NOM;1.24;11
abominations;NOM;0.69;12
abomine;VER;0;7
abominer;VER;0;8
abonda;VER;0;6
abondai;VER;0;7
abondaient;VER;0.12;10
abondais;VER;0.01;8
abondait;VER;0.02;8
abondamment;ADV;0.3;11
abondance;NOM;2.76;9
abondant;ADJ;0.09;8
abondant;VER;0.02;8
abondante;ADJ;0.89;9
abondantes;ADJ;0.33;10
abondants;ADJ;0.05;9
abondassent;VER;0;11
abonde;VER;0.28;6
abondent;VER;0.63;8
abonder;VER;0.03;7
abondé;VER;0.01;6
abonnai;VER;0;7
abonnant;VER;0.01;8
abonne;VER;0.18;6
abonnement;NOM;3.37;10
abonnements;NOM;1.45;11
abonner;VER;0.27;7
abonnez;VER;0.03;7
abonnât;VER;0;7
abonné;VER;0.3;6
abonné;ADJ;0.3;6
abonné;NOM;0.3;6
abonnée;VER;0.15;7
abonnée;ADJ;0.01;7
abonnée;NOM;0.04;7
abonnées;VER;0.01;8
abonnées;NOM;0.02;8
abonnés;VER;0.16;7
abonnés;ADJ;0.16;7
abonnés;NOM;0.52;7
abord;NOM;0.89;5
aborda;VER;0.16;6
abordable;ADJ;0.34;9
abordables;ADJ;0.13;10
abordage;NOM;1.17;8
abordages;NOM;0.05;9
abordai;VER;0;7
abordaient;VER;0.03;10
abordais;VER;0;8
abordait;VER;0.47;8
abordant;VER;0.03;8
aborde;VER;1.76;6
abordent;VER;0.09;8
aborder;VER;5.65;7
abordera;VER;0.2;8
aborderai;VER;0.08;9
aborderaient;VER;0;12
aborderais;VER;0.02;10
aborderait;VER;0.02;10
aborderiez;VER;0.01;10
aborderions;VER;0;11
aborderons;VER;0.09;10
aborderont;VER;0.04;10
abordes;VER;0.36;7
abordez;VER;0.75;7
abordiez;VER;0.02;8
abordions;VER;0.04;9
abordons;VER;0.72;8
abords;NOM;1.33;6
abordâmes;VER;0;9
abordèrent;VER;0.01;10
abordé;VER;1.36;6
abordé;ADJ;0.03;6
abordée;VER;0.34;7
abordées;VER;0.05;8
abordées;ADJ;0;8
abordés;VER;0.26;7
abordés;ADJ;0.12;7
aborigène;ADJ;0.1;9
aborigène;NOM;0.21;9
aborigènes;ADJ;0.07;10
aborigènes;NOM;0.39;10
abornement;NOM;0;10
abortif;ADJ;0.01;7
abortive;ADJ;0.01;8
abortives;ADJ;0.02;9
abouchaient;VER;0;11
abouchais;VER;0;9
abouchait;VER;0;9
abouchant;VER;0;9
abouchements;NOM;0;12
aboucher;VER;0;8
abouché;VER;0;7
abouchée;VER;0;8
abouchés;VER;0;8
aboule;VER;1.43;6
abouler;VER;0.11;7
aboules;VER;0.01;7
aboulez;VER;0.25;7
aboulie;NOM;0;7
aboulique;NOM;0;9
abouliques;ADJ;0;10
abounas;NOM;0;7
about;NOM;5.94;5
aboutait;VER;0;8
abouti;ADJ;0.04;6
abouti;VER;1.24;6
aboutie;ADJ;0.04;7
aboutie;VER;0.04;7
aboutir;VER;1.34;7
aboutira;VER;0.29;8
aboutirai;VER;0;9
aboutiraient;VER;0.01;12
aboutirais;VER;0;10
aboutirait;VER;0.05;10
aboutiras;VER;0;9
aboutirent;VER;0;10
aboutirons;VER;0.01;10
aboutiront;VER;0.04;10
aboutis;ADJ;0.03;7
aboutis;VER;0.07;7
aboutissaient;VER;0.15;13
aboutissait;VER;0.03;11
aboutissant;VER;0;11
aboutissant;NOM;0;11
aboutissants;NOM;0.09;12
aboutisse;VER;0.08;9
aboutissement;NOM;0.5;13
aboutissent;VER;0.47;11
aboutissez;VER;0.02;10
aboutissiez;VER;0;11
aboutissions;VER;0;12
aboutit;VER;1.5;7
aboutonnai;VER;0;10
aboutons;VER;0;8
aboutîmes;VER;0;9
aboya;VER;0;5
aboyaient;VER;0.05;9
aboyait;VER;0.33;7
aboyant;ADJ;0.01;7
aboyant;VER;0.18;7
aboyante;ADJ;0;8
aboyer;VER;2.39;6
aboyeur;ADJ;0.03;7
aboyeur;NOM;0.05;7
aboyeurs;ADJ;0;8
aboyeurs;NOM;0.01;8
aboyons;VER;0.1;7
aboyèrent;VER;0;9
aboyé;VER;0.28;5
abracadabra;NOM;0.98;11
abracadabrant;ADJ;0.03;13
abracadabrante;ADJ;0.13;14
abracadabrantes;ADJ;0.1;15
abracadabrants;ADJ;0;14
abracadabré;VER;0.01;11
abrasif;ADJ;0.04;7
abrasif;NOM;0.13;7
abrasifs;ADJ;0.01;8
abrasifs;NOM;0.03;8
abrasion;NOM;0.19;8
abrasive;ADJ;0.04;8
abrasé;VER;0;6
abraxas;NOM;0.29;7
abreuva;VER;0;7
abreuvage;NOM;0;9
abreuvaient;VER;0;11
abreuvait;VER;0.03;9
abreuvant;VER;0.01;9
abreuve;VER;0.23;7
abreuvent;VER;0.04;9
abreuver;VER;0.48;8
abreuvera;VER;0.11;9
abreuveraient;VER;0;13
abreuvez;VER;0.03;8
abreuvoir;NOM;0.34;9
abreuvoirs;NOM;0.01;10
abreuvons;VER;0.01;9
abreuvé;VER;0.04;7
abreuvé;ADJ;0;7
abreuvée;VER;0.1;8
abreuvés;VER;0.04;8
abreuvés;ADJ;0.01;8
abri;NOM;22.7;4
abri-refuge;NOM;0;11
abribus;NOM;0.04;7
abricot;ADJ;0.08;7
abricot;NOM;0.5;7
abricotez;VER;0.01;9
abricotier;NOM;0.02;10
abricotiers;NOM;0;11
abricotine;NOM;0;10
abricots;NOM;0.74;8
abris;NOM;3.2;5
abrita;VER;0.02;6
abritai;VER;0;7
abritaient;VER;0.14;10
abritais;VER;0.01;8
abritait;VER;0.23;8
abritant;ADJ;0.01;8
abritant;VER;0.25;8
abrite;VER;2.09;6
abritent;VER;0.33;8
abriter;VER;2.37;7
abritera;VER;0.1;8
abriterait;VER;0.04;10
abriterons;VER;0.03;10
abriteront;VER;0.01;10
abrites;VER;0.14;7
abritez;VER;1.08;7
abritiez;VER;0.01;8
abritions;VER;0.01;9
abritons;VER;0.4;8
abritâmes;VER;0.01;9
abritèrent;VER;0;10
abrité;VER;0.35;6
abrité;ADJ;0.13;6
abritée;VER;0.04;7
abritée;ADJ;0.02;7
abritées;VER;0.24;8
abrités;VER;0.02;7
abrités;ADJ;0.03;7
abrogation;NOM;0.16;10
abrogent;VER;0.23;8
abroger;VER;0.09;7
abrogé;VER;0.11;6
abrogé;ADJ;0.01;6
abrogée;VER;0.28;7
abrogées;VER;0;8
abrogés;VER;0.01;7
abrupt;ADJ;0.54;6
abrupt;NOM;0;6
abrupte;ADJ;0.43;7
abruptement;ADV;0.07;11
abruptes;ADJ;0.24;8
abrupts;ADJ;0.14;7
abrupts;NOM;0;7
abruti;ADJ;5.24;6
abruti;NOM;19.13;6
abruti;VER;1.75;6
abrutie;ADJ;0.27;7
abrutie;NOM;0.38;7
abrutie;VER;0.06;7
abruties;ADJ;0.03;8
abruties;NOM;0.03;8
abruties;VER;0.02;8
abrutir;VER;0.11;7
abrutira;VER;0;8
abrutis;ADJ;0.6;7
abrutis;NOM;6.1;7
abrutis;VER;0.13;7
abrutissaient;VER;0;13
abrutissais;VER;0;11
abrutissait;VER;0.14;11
abrutissant;VER;0;11
abrutissant;ADJ;0.14;11
abrutissante;ADJ;0;12
abrutissantes;ADJ;0.02;13
abrutissants;ADJ;0.03;12
abrutissement;NOM;0.13;13
abrutissent;VER;0.16;11
abrutisseur;NOM;0;11
abrutissions;VER;0;12
abrutit;VER;0.19;7
abrège;VER;1.25;6
abrègent;VER;0.22;8
abrégea;VER;0.02;7
abrégeai;VER;0;8
abrégeaient;VER;0;11
abrégeait;VER;0;9
abrégeant;VER;0;9
abrégeons;VER;0.12;9
abréger;VER;1.61;7
abrégera;VER;0.01;8
abrégerai;VER;0.01;9
abrégerait;VER;0;10
abrégez;VER;0.73;7
abrégeât;VER;0;8
abrégé;VER;0.19;6
abrégé;ADJ;0.06;6
abrégé;NOM;0.11;6
abrégée;VER;0.05;7
abrégée;ADJ;0.13;7
abrégés;ADJ;0.01;7
abrégés;NOM;0.01;7
abréviatif;ADJ;0;10
abréviation;NOM;0.37;11
abréviations;NOM;0.09;12
abscisse;NOM;0.02;8
abscission;NOM;0;10
abscons;ADJ;0.12;7
absconse;ADJ;0;8
absconses;ADJ;0;9
absence;NOM;22.02;7
absences;NOM;0.84;8
absent;ADJ;9.46;6
absent;NOM;0.82;6
absenta;VER;0;7
absentai;VER;0;8
absentaient;VER;0;11
absentais;VER;0.04;9
absentait;VER;0.16;9
absentant;VER;0;9
absente;ADJ;3.49;7
absente;NOM;0.47;7
absente;VER;1.46;7
absenter;VER;2.9;8
absentera;VER;0.03;9
absenterai;VER;0.03;10
absenterait;VER;0;11
absentes;ADJ;0.06;8
absentes;NOM;0.01;8
absentes;VER;0.07;8
absents;ADJ;1.91;7
absents;NOM;0.66;7
absentèrent;VER;0;11
absenté;VER;0.89;7
absentée;VER;0.42;8
absentéisme;NOM;0.14;11
absentéiste;ADJ;0.01;11
absentéiste;NOM;0.01;11
absentés;VER;0.15;8
abside;NOM;0;6
absides;NOM;0;7
absidiales;ADJ;0;10
absidiole;NOM;0;9
absinthant;VER;0;10
absinthe;NOM;1.28;8
absolu;ADJ;8.55;6
absolu;NOM;0.74;6
absolue;ADJ;8.44;7
absolues;ADJ;0.2;8
absolument;ADV;89.79;10
absolus;ADJ;0.06;7
absolus;NOM;0.04;7
absolution;NOM;1.06;10
absolutisme;NOM;0.12;11
absolvaient;VER;0;11
absolvait;VER;0;9
absolvant;ADJ;0;9
absolve;VER;0.16;7
absolvent;VER;0;9
absolves;VER;0.01;8
absorba;VER;0.11;7
absorbables;ADJ;0;11
absorbai;VER;0;8
absorbaient;VER;0.04;11
absorbais;VER;0;9
absorbait;VER;0.2;9
absorbant;ADJ;0.08;9
absorbant;NOM;0.01;9
absorbant;VER;0.06;9
absorbante;ADJ;0.04;10
absorbantes;ADJ;0.01;11
absorbants;ADJ;0.01;10
absorbe;VER;1.61;7
absorbent;VER;0.33;9
absorber;VER;1.86;8
absorbera;VER;0.23;9
absorberai;VER;0.02;10
absorberaient;VER;0.11;13
absorberait;VER;0.04;11
absorbeur;NOM;0.03;9
absorbez;VER;0.06;8
absorbions;VER;0;10
absorbons;VER;0;9
absorbèrent;VER;0.01;11
absorbé;VER;1.35;7
absorbé;ADJ;0.18;7
absorbée;VER;0.4;8
absorbée;ADJ;0.06;8
absorbées;VER;0.07;9
absorbées;ADJ;0.03;9
absorbés;VER;0.16;8
absorbés;ADJ;0.02;8
absorption;NOM;0.58;10
absorptions;NOM;0;11
absoudrai;VER;0.01;9
absoudrait;VER;0.14;10
absoudre;VER;1.08;8
absoudriez;VER;0.01;10
absous;VER;1.15;6
absous;ADJ;0.02;6
absout;VER;0.11;6
absoute;VER;0;7
absoute;ADJ;0;7
absoute;NOM;0;7
absoutes;VER;0;8
abstenaient;VER;0;11
abstenais;VER;0.01;9
abstenait;VER;0;9
abstenant;VER;0.12;9
abstenez;VER;0.57;8
absteniez;VER;0.01;9
abstenions;VER;0;10
abstenir;VER;1.8;8
abstenons;VER;0.02;9
abstention;NOM;0.14;10
abstentionniste;NOM;0.01;15
abstentionnistes;NOM;0;16
abstenu;VER;0.17;7
abstenue;VER;0.05;8
abstenue;ADJ;0.01;8
abstenues;VER;0.14;9
abstenus;VER;0;8
abstiendrai;VER;0.04;11
abstiendraient;VER;0;14
abstiendrais;VER;0.03;12
abstiendrait;VER;0.02;12
abstiendras;VER;0.01;11
abstiendrions;VER;0;13
abstiendrons;VER;0.12;12
abstiendront;VER;0.12;12
abstienne;VER;0.02;9
abstiennent;VER;0.02;11
abstiennes;VER;0.02;10
abstiens;VER;0.84;8
abstient;VER;0.17;8
abstinence;NOM;1.6;10
abstinences;NOM;0.02;11
abstinent;ADJ;0.1;9
abstinente;ADJ;0.01;10
abstinrent;VER;0.01;10
abstins;VER;0;7
abstint;VER;0.2;7
abstraction;NOM;0.66;11
abstractions;NOM;0.03;12
abstraire;VER;0.02;9
abstrais;VER;0;8
abstrait;VER;0.1;8
abstrait;ADJ;0.61;8
abstrait;NOM;0.49;8
abstraite;VER;0.01;9
abstraite;ADJ;0.69;9
abstraitement;ADV;0;13
abstraites;VER;0.11;10
abstraites;ADJ;0.07;10
abstraits;VER;0.03;9
abstraits;ADJ;0.25;9
abstraits;NOM;0;9
abstrus;ADJ;0;7
abstruse;ADJ;0;8
abstruses;ADJ;0;9
abstînt;VER;0;7
absurde;ADJ;21.56;7
absurde;NOM;2.67;7
absurdement;ADV;0.14;11
absurdes;ADJ;2.03;8
absurdes;NOM;0.02;8
absurdistes;NOM;0;11
absurdité;NOM;1.44;9
absurdités;NOM;0.9;10
abus;NOM;4.75;4
abusa;VER;0.02;5
abusai;VER;0;6
abusaient;VER;0.04;9
abusais;VER;0.03;7
abusait;VER;0.53;7
abusant;VER;0.24;7
abuse;VER;4.08;5
abusent;VER;1.02;7
abuser;VER;5.87;6
abusera;VER;0.04;7
abuserai;VER;0.03;8
abuserais;VER;0.09;9
abuserait;VER;0.02;9
abuserez;VER;0.01;8
abuseriez;VER;0.02;9
abuses;VER;0.5;6
abuseur;NOM;0.04;7
abusez;VER;1.93;6
abusiez;VER;0.02;7
abusif;ADJ;0.37;6
abusifs;ADJ;0.05;7
abusive;ADJ;0.39;7
abusivement;ADV;0.16;11
abusives;ADJ;0.03;8
abusons;VER;0.37;7
abusèrent;VER;0;9
abusé;VER;4.59;5
abusé;ADJ;0.1;5
abusée;VER;0.29;6
abusée;ADJ;0.03;6
abusées;VER;0.03;7
abusées;ADJ;0.03;7
abusés;VER;0.22;6
abusés;ADJ;0.04;6
abyme;NOM;0.04;5
abyssal;ADJ;0.03;7
abyssale;ADJ;0.05;8
abyssales;ADJ;0.02;9
abysse;NOM;0.53;6
abysses;NOM;0.54;7
abyssin;ADJ;0;7
abyssin;NOM;0.14;7
abyssinien;ADJ;0.1;10
abyssinienne;NOM;0.01;12
abyssins;ADJ;0;8
abâtardi;VER;0;8
abâtardie;ADJ;0.01;9
abâtardies;VER;0;10
abâtardir;VER;0;9
abâtardirai;VER;0;11
abâtardissant;VER;0.14;13
abécédaire;NOM;0.18;10
abêti;ADJ;0;5
abêti;VER;0;5
abêties;ADJ;0;7
abêtir;VER;0.01;6
abêtis;ADJ;0;6
abêtis;VER;0;6
abêtissait;VER;0;10
abêtissement;NOM;0;12
abêtit;VER;0;6
abîma;VER;0.1;5
abîmai;VER;0;6
abîmaient;VER;0.1;9
abîmait;VER;0.01;7
abîmant;VER;0.01;7
abîme;NOM;5.03;5
abîme;VER;2.21;5
abîment;VER;0.31;7
abîmer;VER;5.4;6
abîmera;VER;0.04;7
abîmerai;VER;0.01;8
abîmerais;VER;0.02;9
abîmerait;VER;0.08;9
abîmeras;VER;0;8
abîmerez;VER;0.01;8
abîmeront;VER;0.02;9
abîmes;NOM;0.98;6
abîmes;VER;0.72;6
abîmez;VER;0.3;6
abîmions;VER;0;8
abîmons;VER;0;7
abîmé;VER;3.57;5
abîmée;VER;1.73;6
abîmées;VER;0.56;7
abîmés;VER;0.61;6
acabit;NOM;0.17;6
acabits;NOM;0;7
acacia;NOM;0.05;6
acacias;NOM;0.21;7
acadien;ADJ;0.01;7
acadien;NOM;0.14;7
acadienne;NOM;0.03;9
acadiens;NOM;0.01;8
académicien;NOM;0.14;11
académiciens;NOM;0.21;12
académie;NOM;9.91;8
académies;NOM;0.12;9
académique;ADJ;0.87;10
académiquement;ADV;0.01;14
académiques;ADJ;0.54;11
académisme;NOM;0;10
académisé;VER;0;9
acagnardai;VER;0;10
acagnardait;VER;0;11
acagnarder;VER;0;10
acagnardé;VER;0;9
acagnardée;VER;0;10
acajou;ADJ;0.17;6
acajou;NOM;0.52;6
acajous;NOM;0;7
acanthe;NOM;0.04;7
acanthes;NOM;0;8
acariens;NOM;0.07;8
acariâtre;ADJ;0.13;9
acariâtres;ADJ;0.01;10
accabla;VER;0.14;7
accablai;VER;0;8
accablaient;VER;0.03;11
accablais;VER;0;9
accablait;VER;0.22;9
accablant;ADJ;0.37;9
accablant;VER;0.05;9
accablante;ADJ;0.71;10
accablantes;ADJ;0.29;11
accablants;ADJ;0.04;10
accable;VER;2.01;7
accablement;NOM;0.21;11
accablements;NOM;0.01;12
accablent;VER;0.28;9
accabler;VER;0.65;8
accableraient;VER;0;13
accablez;VER;0.17;8
accablions;VER;0;10
accablât;VER;0;8
accablèrent;VER;0;11
accablé;VER;0.92;7
accablé;ADJ;0.39;7
accablée;VER;0.6;8
accablée;ADJ;0.03;8
accablées;VER;0.02;9
accablées;ADJ;0;9
accablés;VER;0.47;8
accablés;ADJ;0.11;8
accalmie;NOM;0.46;8
accalmies;NOM;0.04;9
accalmit;VER;0;8
accapara;VER;0.01;8
accaparaient;VER;0;12
accaparait;VER;0.01;10
accaparant;ADJ;0.02;10
accaparant;VER;0.03;10
accaparante;ADJ;0;11
accapare;VER;0.34;8
accaparer;VER;0.2;9
accaparerait;VER;0;12
accapareur;ADJ;0.02;10
accaparez;VER;0.02;9
accaparé;VER;0.3;8
accaparée;VER;0.06;9
accaparées;VER;0;10
accaparés;VER;0;9
accastillage;NOM;0.04;12
accastillages;NOM;0;13
accelerando;ADV;0;11
accent;NOM;12.98;6
accenteur;NOM;0.01;9
accents;NOM;1.58;7
accentua;VER;0;8
accentuai;VER;0;9
accentuaient;VER;0;12
accentuais;VER;0;10
accentuait;VER;0.01;10
accentuant;VER;0.03;10
accentuation;NOM;0.06;12
accentue;VER;0.11;8
accentuent;VER;0.07;10
accentuer;VER;0.67;9
accentuerait;VER;0.01;12
accentuez;VER;0.12;9
accentuât;VER;0;9
accentuèrent;VER;0;12
accentué;VER;0.21;8
accentué;ADJ;0.01;8
accentuée;VER;0.03;9
accentuée;ADJ;0.01;9
accentuées;VER;0.02;10
accentuées;ADJ;0;10
accentués;VER;0.01;9
accentués;ADJ;0;9
accepta;VER;0.82;7
acceptable;ADJ;3.27;10
acceptables;ADJ;0.7;11
acceptai;VER;0.03;8
acceptaient;VER;0.34;11
acceptais;VER;0.94;9
acceptait;VER;1.48;9
acceptant;NOM;0.04;9
acceptant;VER;1.35;9
acceptassent;VER;0;12
acceptasses;VER;0;11
acceptation;NOM;1.24;11
acceptations;NOM;0;12
accepte;VER;38.41;7
acceptent;VER;4.45;9
accepter;VER;43.39;8
acceptera;VER;3.98;9
accepterai;VER;2.73;10
accepteraient;VER;0.57;13
accepterais;VER;2.25;11
accepterait;VER;1.54;11
accepteras;VER;0.65;10
accepterez;VER;0.94;10
accepteriez;VER;2.01;11
accepterions;VER;0.03;12
accepterons;VER;0.31;11
accepteront;VER;1.34;11
acceptes;VER;6.79;8
acceptez;VER;12.53;8
acceptiez;VER;1;9
acception;NOM;0.15;9
acceptions;NOM;0;10
acceptions;VER;0.21;10
acceptons;VER;2.72;9
acceptâmes;VER;0;10
acceptât;VER;0.01;8
acceptèrent;VER;0.04;11
accepté;VER;28.46;7
acceptée;VER;4.3;8
acceptées;VER;0.93;9
acceptés;VER;1.29;8
accesseurs;NOM;0;10
accessibilité;NOM;0.03;13
accessible;ADJ;1.49;10
accessibles;ADJ;0.57;11
accession;NOM;0.16;9
accessit;NOM;0.02;8
accessoire;ADJ;0.12;10
accessoire;NOM;1.11;10
accessoirement;ADV;0.17;14
accessoires;ADJ;0.62;11
accessoires;NOM;2.76;11
accessoirise;VER;0.01;12
accessoiriser;VER;0.07;13
accessoiriste;NOM;0.51;13
accessoiristes;NOM;0.11;14
accident;NOM;100.11;8
accidente;VER;0.01;9
accidentel;ADJ;1.09;10
accidentelle;ADJ;1.44;12
accidentellement;ADV;3.39;16
accidentelles;ADJ;0.17;13
accidentels;ADJ;0.08;11
accidenter;VER;0.02;10
accidents;NOM;8.1;9
accidenté;VER;0.12;9
accidenté;ADJ;0.16;9
accidenté;NOM;0.28;9
accidentée;VER;0.04;10
accidentée;ADJ;0.08;10
